game_season,date_game,age,team_id,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,g,home_game,win,pts_per_36,trb_per_36,tov_per_12
21.0,2018-12-06,29-102,HOU,UTA,L (-27),1.0,28.0,5.0,16.0,0.313,2.0,8.0,0.25,3.0,3.0,1.0,1.0,5.0,6.0,2.0,0.0,0.0,7.0,3.0,15.0,1.2,-27.0,1,0,0,19.3,7.7,3.0
22.0,2018-12-08,29-104,HOU,DAL,L (-3),1.0,36.6,11.0,22.0,0.5,6.0,16.0,0.375,7.0,7.0,1.0,0.0,4.0,4.0,8.0,1.0,1.0,6.0,5.0,35.0,24.5,-8.0,1,0,0,34.4,3.9,2.0
23.0,2018-12-11,29-107,HOU,POR,W (+7),1.0,32.5,10.0,21.0,0.47600000000000003,4.0,9.0,0.444,5.0,7.0,0.7140000000000001,0.0,1.0,1.0,4.0,1.0,0.0,2.0,4.0,29.0,18.0,-15.0,1,1,1,32.1,1.1,0.7
24.0,2018-12-13,29-109,HOU,LAL,W (+15),1.0,35.5,14.0,26.0,0.5379999999999999,4.0,12.0,0.33299999999999996,18.0,19.0,0.9470000000000001,2.0,8.0,10.0,11.0,2.0,0.0,6.0,4.0,50.0,42.9,14.0,1,1,1,50.7,10.1,2.0
25.0,2018-12-15,29-111,HOU,MEM,W (+8),1.0,40.5,9.0,14.0,0.643,3.0,7.0,0.429,11.0,13.0,0.846,0.0,12.0,12.0,10.0,2.0,0.0,5.0,1.0,32.0,32.2,3.0,1,0,1,28.4,10.7,1.5
26.0,2018-12-17,29-113,HOU,UTA,W (+5),1.0,40.6,14.0,31.0,0.452,4.0,12.0,0.33299999999999996,15.0,16.0,0.938,0.0,6.0,6.0,5.0,5.0,0.0,5.0,4.0,47.0,34.2,-1.0,1,1,1,41.7,5.3,1.5
27.0,2018-12-19,29-115,HOU,WAS,W (+18),1.0,33.6,10.0,18.0,0.556,6.0,11.0,0.545,9.0,9.0,1.0,0.0,3.0,3.0,9.0,2.0,0.0,2.0,4.0,35.0,32.0,12.0,1,1,1,37.5,3.2,0.7
28.0,2018-12-20,29-116,HOU,MIA,L (-2),1.0,42.8,7.0,23.0,0.304,6.0,14.0,0.429,15.0,18.0,0.833,1.0,5.0,6.0,12.0,2.0,0.0,3.0,4.0,35.0,28.5,6.0,1,0,0,29.4,5.0,0.8
29.0,2018-12-22,29-118,HOU,SAS,W (+7),1.0,41.1,12.0,34.0,0.353,7.0,19.0,0.368,8.0,9.0,0.889,2.0,2.0,4.0,10.0,2.0,0.0,3.0,4.0,39.0,26.0,14.0,1,1,1,34.2,3.5,0.9
30.0,2018-12-25,29-121,HOU,OKC,W (+4),1.0,38.8,15.0,35.0,0.429,5.0,16.0,0.313,6.0,7.0,0.857,2.0,4.0,6.0,7.0,2.0,1.0,6.0,3.0,41.0,25.1,4.0,1,1,1,38.0,5.6,1.9
31.0,2018-12-27,29-123,HOU,BOS,W (+14),1.0,38.5,11.0,26.0,0.423,9.0,18.0,0.5,14.0,17.0,0.8240000000000001,0.0,2.0,2.0,6.0,0.0,1.0,6.0,2.0,45.0,28.7,3.0,1,1,1,42.1,1.9,1.9
32.0,2018-12-29,29-125,HOU,NOP,W (+4),1.0,37.0,10.0,25.0,0.4,7.0,17.0,0.41200000000000003,14.0,14.0,1.0,3.0,6.0,9.0,6.0,3.0,2.0,7.0,4.0,41.0,31.4,-6.0,1,0,1,39.9,8.8,2.3
33.0,2018-12-31,29-127,HOU,MEM,W (+12),1.0,41.0,8.0,19.0,0.42100000000000004,6.0,12.0,0.5,21.0,27.0,0.778,1.0,9.0,10.0,13.0,2.0,0.0,9.0,3.0,43.0,34.8,21.0,1,1,1,37.8,8.8,2.6
34.0,2019-01-03,29-130,HOU,GSW,W (+1),1.0,44.0,13.0,32.0,0.406,10.0,23.0,0.435,8.0,9.0,0.889,2.0,8.0,10.0,15.0,1.0,2.0,7.0,4.0,44.0,34.5,5.0,1,0,1,36.0,8.2,1.9
35.0,2019-01-05,29-132,HOU,POR,L (-9),1.0,37.0,13.0,35.0,0.371,5.0,17.0,0.294,7.0,7.0,1.0,0.0,5.0,5.0,7.0,1.0,1.0,7.0,4.0,38.0,18.2,-14.0,1,0,0,37.0,4.9,2.3
36.0,2019-01-07,29-134,HOU,DEN,W (+12),1.0,39.9,7.0,18.0,0.389,6.0,15.0,0.4,12.0,15.0,0.8,0.0,5.0,5.0,14.0,1.0,1.0,6.0,4.0,32.0,26.4,23.0,1,1,1,28.9,4.5,1.8
37.0,2019-01-09,29-136,HOU,MIL,L (-7),1.0,40.9,13.0,30.0,0.433,6.0,16.0,0.375,10.0,11.0,0.909,1.0,10.0,11.0,6.0,2.0,1.0,9.0,4.0,42.0,25.8,2.0,1,1,0,37.0,9.7,2.6
38.0,2019-01-11,29-138,HOU,CLE,W (+28),1.0,29.6,12.0,24.0,0.5,8.0,16.0,0.5,11.0,11.0,1.0,0.0,10.0,10.0,12.0,2.0,2.0,4.0,2.0,43.0,41.0,28.0,1,1,1,52.3,12.2,1.6
39.0,2019-01-13,29-140,HOU,ORL,L (-7),1.0,43.0,11.0,32.0,0.344,1.0,17.0,0.059000000000000004,15.0,16.0,0.938,2.0,7.0,9.0,12.0,4.0,0.0,4.0,3.0,38.0,30.3,0.0,1,0,0,31.8,7.5,1.1
40.0,2019-01-14,29-141,HOU,MEM,W (+18),1.0,34.1,17.0,33.0,0.515,6.0,15.0,0.4,17.0,18.0,0.9440000000000001,2.0,7.0,9.0,2.0,2.0,1.0,5.0,4.0,57.0,41.3,25.0,1,1,1,60.2,9.5,1.8
41.0,2019-01-16,29-143,HOU,BRK,L (-3),1.0,45.0,16.0,34.0,0.47100000000000003,5.0,19.0,0.263,21.0,23.0,0.9129999999999999,1.0,9.0,10.0,6.0,1.0,1.0,4.0,5.0,58.0,43.1,-8.0,1,1,0,46.4,8.0,1.1
42.0,2019-01-19,29-146,HOU,LAL,W (+4),1.0,42.1,14.0,30.0,0.467,8.0,19.0,0.42100000000000004,12.0,15.0,0.8,3.0,5.0,8.0,6.0,4.0,1.0,6.0,3.0,48.0,36.7,11.0,1,1,1,41.0,6.8,1.7
43.0,2019-01-21,29-148,HOU,PHI,L (-28),1.0,30.8,12.0,26.0,0.462,6.0,13.0,0.462,7.0,8.0,0.875,2.0,4.0,6.0,3.0,1.0,2.0,6.0,4.0,37.0,22.7,-23.0,1,0,0,43.2,7.0,2.3
44.0,2019-01-23,29-150,HOU,NYK,W (+4),1.0,40.0,17.0,38.0,0.447,5.0,20.0,0.25,22.0,25.0,0.88,6.0,9.0,15.0,4.0,5.0,0.0,5.0,3.0,61.0,48.5,19.0,1,0,1,54.9,13.5,1.5
45.0,2019-01-25,29-152,HOU,TOR,W (+2),1.0,40.3,9.0,25.0,0.36,2.0,13.0,0.154,15.0,15.0,1.0,0.0,2.0,2.0,7.0,0.0,1.0,4.0,2.0,35.0,22.5,-8.0,1,1,1,31.3,1.8,1.2
46.0,2019-01-27,29-154,HOU,ORL,W (+5),1.0,37.1,14.0,27.0,0.519,4.0,12.0,0.33299999999999996,8.0,9.0,0.889,1.0,10.0,11.0,6.0,1.0,3.0,5.0,3.0,40.0,31.1,-1.0,1,1,1,38.8,10.7,1.6
47.0,2019-01-29,29-156,HOU,NOP,L (-5),1.0,39.5,11.0,32.0,0.344,6.0,18.0,0.33299999999999996,9.0,10.0,0.9,2.0,9.0,11.0,6.0,4.0,1.0,5.0,1.0,37.0,26.2,-5.0,1,1,0,33.7,10.0,1.5
48.0,2019-02-01,29-159,HOU,DEN,L (-14),1.0,37.2,9.0,21.0,0.429,7.0,14.0,0.5,5.0,9.0,0.556,2.0,4.0,6.0,9.0,2.0,1.0,5.0,2.0,30.0,23.1,-24.0,1,0,0,29.0,5.8,1.6
49.0,2019-02-02,29-160,HOU,UTA,W (+27),1.0,39.7,12.0,22.0,0.545,4.0,12.0,0.33299999999999996,15.0,15.0,1.0,0.0,12.0,12.0,5.0,6.0,4.0,5.0,4.0,43.0,41.7,31.0,1,0,1,39.0,10.9,1.5
50.0,2019-02-04,29-162,HOU,PHO,W (+8),1.0,38.5,15.0,26.0,0.5770000000000001,5.0,13.0,0.385,9.0,11.0,0.818,0.0,8.0,8.0,6.0,3.0,1.0,3.0,3.0,44.0,37.1,19.0,1,0,1,41.1,7.5,0.9
51.0,2019-02-06,29-164,HOU,SAC,W (+26),1.0,31.6,13.0,26.0,0.5,8.0,13.0,0.615,2.0,2.0,1.0,2.0,4.0,6.0,1.0,2.0,1.0,2.0,4.0,36.0,25.4,16.0,1,0,1,41.0,6.8,0.8
52.0,2019-02-09,29-167,HOU,OKC,L (-5),1.0,37.2,11.0,28.0,0.39299999999999996,6.0,16.0,0.375,14.0,15.0,0.9329999999999999,0.0,2.0,2.0,1.0,1.0,0.0,5.0,2.0,42.0,22.9,-9.0,1,1,0,40.6,1.9,1.6
53.0,2019-02-11,29-169,HOU,DAL,W (+16),1.0,35.5,9.0,23.0,0.391,6.0,17.0,0.353,7.0,7.0,1.0,1.0,7.0,8.0,7.0,5.0,0.0,5.0,1.0,31.0,25.8,8.0,1,1,1,31.4,8.1,1.7
54.0,2019-02-13,29-171,HOU,MIN,L (-10),1.0,39.7,15.0,34.0,0.441,8.0,22.0,0.364,4.0,4.0,1.0,2.0,3.0,5.0,6.0,0.0,0.0,6.0,2.0,42.0,23.9,-14.0,1,0,0,38.1,4.5,1.8
55.0,2019-02-21,29-179,HOU,LAL,L (-5),1.0,36.7,11.0,24.0,0.45799999999999996,2.0,10.0,0.2,6.0,7.0,0.857,0.0,6.0,6.0,6.0,1.0,1.0,8.0,6.0,30.0,14.5,-8.0,1,0,0,29.4,5.9,2.6
,2019-02-23,29-181,HOU,GSW,W (+6),,0.0,,,,,,,,,,,,,,,,,,,,,0,0,1,0.0,0.0,0.0
56.0,2019-02-25,29-183,HOU,ATL,W (+8),1.0,35.6,7.0,21.0,0.33299999999999996,0.0,10.0,0.0,14.0,16.0,0.875,0.0,5.0,5.0,4.0,1.0,0.0,6.0,1.0,28.0,14.2,5.0,1,1,1,28.3,5.1,2.0
57.0,2019-02-27,29-185,HOU,CHO,W (+5),1.0,35.8,10.0,29.0,0.345,1.0,11.0,0.091,9.0,9.0,1.0,0.0,3.0,3.0,7.0,2.0,1.0,1.0,2.0,30.0,20.4,-14.0,1,0,1,30.2,3.0,0.3
58.0,2019-02-28,29-186,HOU,MIA,W (+3),1.0,43.9,16.0,32.0,0.5,8.0,18.0,0.444,18.0,18.0,1.0,2.0,5.0,7.0,10.0,4.0,1.0,4.0,1.0,58.0,52.2,10.0,1,1,1,47.6,5.7,1.1
59.0,2019-03-03,29-189,HOU,BOS,W (+11),1.0,38.9,14.0,31.0,0.452,6.0,18.0,0.33299999999999996,8.0,9.0,0.889,0.0,7.0,7.0,4.0,2.0,1.0,4.0,6.0,42.0,26.7,13.0,1,0,1,38.9,6.5,1.2
